Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"Area Nes"	7095	19871	4693	22619	30730	34781	82610	160669	87567	191669	58370	53896	4956	12684	11659	28692	10369	2529	1052	2632	
"Somalia"	20	0	0	29	0	0	0	0	0	0	3	0	120	0	0	0	1498	804	911	2582	
"Malta"	0	303	257	307	4420	1024	1027	5502	21842	20095	20330	19393	9572	10330	7377	2057	2240	526	566	2365	
"Luxembourg"	65	71	680	150	582	582	636	852	2435	2266	2689	2576	3492	1862	3873	4993	5735	1561	2501	2269	
"Gambia"	0	0	0	5	13	45	0	27	0	311	157	187	627	1082	1167	1844	2109	2496	1765	1975	
"Qatar"	1	3	371	278	37	45	93	181	247	4333	4545	232	262	429	681	398	745	4261	1791	1552	
"Bahamas"	0	0	0	0	0	0	2	0	2	0	0	358	0	10	28	0	919	962	926	1529	
"Senegal"	146	4	133	408	95	369	693	142	269	689	793	5	455	2054	490	1512	1973	1385	128	1497	
"Chile"	51	149	15	57	598	1028	971	1372	2052	1181	1377	434	803	1053	4074	1199	348	5152	1500	1463	
"Liberia"	0	0	0	0	8	0	0	0	218	276	960	934	1045	1151	799	1506	1633	1057	708	1385	
"British Virgin Islands"	0	0	0	23	79	13	211	31	230	154	56	10	52	260	1282	70	2882	3555	1302	1378	
"Angola"	0	0	0	0	0	0	0	61	382	698	2346	6057	2942	2030	155	802	2729	2122	19	1302	
"Belarus"	364	411	815	1485	2157	919	5107	940	756	7102	767	1183	1389	1460	2070	2224	1837	1420	1612	1274	
"Oman"	610	797	604	319	462	1587	26	356	1050	2725	3323	119	476	282	549	512	1257	2503	1987	1243	
"Serbia"	0	0	0	0	4	16	93	42	49	107	53	148	226	287	413	1640	1098	1911	1919	1190	
"Jamaica"	1	7	15	37	10	132	23	81	17	156	253	16	0	8	3	135	830	1789	721	1149	
"Sierra Leone"	0	1027	39	17	13	11	58	123	27	479	225	718	653	1136	1357	1669	2178	1536	1569	1132	
"Egypt"	1753	4170	210	380	318	943	3240	2436	593	1898	1986	3456	8263	21910	8263	3615	1036	3384	1411	1102	
"Mozambique"	0	0	0	0	8	0	0	0	376	627	263	41	0	639	1379	2078	1979	1532	1223	947	
"Equatorial Guinea"	0	0	0	0	0	0	0	0	0	0	0	161	55	0	287	110	179	741	484	946	
"Bhutan"	0	153	0	0	0	226	343	71	10	216	46	0	0	3	0	0	166	1798	337	885	
"Curaçao"	0	0	0	0	0	0	0	0	0	487	661	814	713	402	711	160	872	717	463	825	
"Trinidad and Tobago"	0	0	265	0	0	22	1	0	0	241	72	234	95	312	0	106	736	1262	593	771	
"Tanzania, United Republic of"	0	1	55	113	8	0	7	240	111	791	389	390	552	319	411	2161	1767	1373	477	736	
"Korea, Democratic People's Republic of"	837	20	406	2826	251764	40711	28394	1378	6084	395	0	3968	8121	7731	8600	2191	595	149	132	699	
"Venezuela, Bolivarian Republic of"	35	3	0	972	1153	41	14	0	65	11	186	145	31	4	1	5	2	444	300	682	
"Papua New Guinea"	0	0	0	0	7	0	1	2	0	126	48	0	0	7	2	0	541	677	362	678	
"Cuba"	0	0	0	0	0	0	0	0	0	0	70	0	0	51	0	3	63	473	0	666	
"Dominican Republic"	0	0	0	0	72	215	16	44	238	250	338	137	425	622	63	239	1303	675	239	666	
"Maldives"	0	5	0	9	8	0	7	29	1	95	177	41	162	20	119	385	705	314	234	597	
"Congo"	0	4	0	19	5	0	0	4	182	404	995	804	565	470	64	1310	940	1691	608	592	
"Barbados"	0	0	0	1	0	0	0	10	3	294	52	0	0	14	0	1	497	710	474	584	
"Seychelles"	0	0	12	0	192	0	0	74	3681	697	7	89	9	44	32	67	849	92	166	552	
"Honduras"	0	0	0	20	60	156	14	112	330	508	259	6	98	93	226	415	1194	438	409	486	
"Colombia"	63	60	74	3	124	11	8	88	398	310	325	4	89	138	85	261	141	1359	87	485	
"Benin"	0	0	0	0	0	0	0	18	125	640	1199	800	888	2160	3952	3600	4517	3184	918	469	
"Eswatini"	0	457	278	48	17452	8039	6828	8267	2388	8277	1620	2267	948	877	1325	1108	622	331	151	447	
"Ethiopia"	0	0	0	54	0	0	0	1	0	480	496	183	43	811	0	4	46	38	0	439	
"Suriname"	1	0	0	0	1	1	14	22	12	0	129	146	364	61	0	789	266	637	111	363	
